['云南锡业集团有限责任公司', '( 以下 简称 “', '锡业集团']
['云维股份', '” 或 “ 公司 ” ) 第二 大股 东云南煤化工集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '煤化集团']
['东云南煤化工集团有限公司', '( 以下 简称 “', '煤化集团']
['杭州遥望网络股份有限公司', '( 以下 简称 “', '遥望网络']
['子栋科技', '、 鼎金投资 等 持有 的 车音智能科技有限公司 ( 以下 简称 “ 等 持有 的 车音智能科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '车音智能']
['鼎金投资', '等 持有 的 车音智能科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '车音智能']
['车音智能科技有限公司', '( 以下 简称 “', '车音智能']
['遵义米麦', '、 新余微米 、 新余聚米 、 新余众智 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ 、 新余聚米 、 新余众智 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ 、 新余众智 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '麦游互动']
['新余微米', '、 新余聚米 、 新余众智 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ 、 新余众智 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '麦游互动']
['新余聚米', '、 新余众智 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ 等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '麦游互动']
['新余众智', '等 持有 的 深圳市麦游互动科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '麦游互动']
['深圳市麦游互动科技有限公司', '( 以下 简称 “', '麦游互动']
['无锡雄伟精工科技有限公司', '( 以下 简称 “', '雄伟精工']
['雄伟精工', '” 、 “ 标的 公司 ” ) 95 % 股权 。 上述 公司 收购', '无锡雄伟精工科技有限公司']
['无锡雄伟精工科技有限公司', '( 以下 简称 “', '雄伟精工']
['重庆莱美药业股份有限公司', '( 以下 简称 “ 公司 ” ) 的 未来 战略 发展 , 公司 拟 与', '广州赛富立合资本管理有限公司']
['广州赛富立合资本管理有限公司', '( 以下 简称 “', '赛富资本']
['广州赛富立合资本管理有限公司', '( 以下 简称 “ 赛富资本 ” ) 、 ” ) 、', '广东立合投资控股有限公司']
['广州赛富立合资本管理有限公司', '( 以下 简称 “ 赛富资本 ” ) 、 广东立合投资控股有限公司 ( 以下 简称 “ ” ) 、 广东立合投资控股有限公司 ( 以下 简称 “ ( 以下 简称 “', '立合投资']
['赛富资本', '” ) 、', '广东立合投资控股有限公司']
['赛富资本', '” ) 、 广东立合投资控股有限公司 ( 以下 简称 “ ( 以下 简称 “', '立合投资']
['广东立合投资控股有限公司', '( 以下 简称 “', '立合投资']
['合伙企业', '” 、 “', '基金']
['北京电子商务中心区投资有限公司', '( 以下 简称 “', '北京电商投资公司']
['西藏金杖投资有限公司', '( 以下 简称 “', '西藏金杖']
['浙江富通科技集团有限公司', '( 以下 简称 “', '富通科技']
['安徽安凯汽车股份有限公司', '( 以下 简称 “', '安凯客车']
['安徽安凯汽车股份有限公司', '( 以下 简称 “ 安凯客车 ” ) 及 公司 控股 子公司 安徽江汽投资有限公司 之 全资 子 ” ) 及 公司 控股 子公司 安徽江汽投资有限公司 之 全资 子 之 全资 子', '公司江淮汽车(香港)有限公司']
['安凯客车', '” ) 及 公司 控股 子公司 安徽江汽投资有限公司 之 全资 子 公司江淮汽车 ( 香港 ) 有限公司 ( 以下 简称 “ 之 全资 子 公司江淮汽车 ( 香港 ) 有限公司 ( 以下 简称 “ ( 以下 简称 “', '江淮香港']
['安徽江汽投资有限公司', '之 全资 子 公司江淮汽车 ( 香港 ) 有限公司 ( 以下 简称 “ ( 以下 简称 “', '江淮香港']
['公司江淮汽车(香港)有限公司', '( 以下 简称 “', '江淮香港']
['深圳深安联合投资有限公司', '( 以下 简称 “', '深安联合']
['合众创亚包装服务(亚洲)有限公司', '( 以下 简称 “', '合众创亚(亚洲)']
['北巴传媒', '拟 与 启迪科技城集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '启迪科技城']
['北巴传媒', '拟 与 启迪科技城集团有限公司 ( 以下 简称 “ 启迪科技城 ” ) 、 ( 以下 简称 “ 启迪科技城 ” ) 、 ” ) 、', '北京公交集团资产管理有限公司']
['北巴传媒', '拟 与 启迪科技城集团有限公司 ( 以下 简称 “ 启迪科技城 ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ ( 以下 简称 “ 启迪科技城 ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ ( 以下 简称 “', '公交资产公司']
['启迪科技城集团有限公司', '( 以下 简称 “', '启迪科技城']
['启迪科技城集团有限公司', '( 以下 简称 “ 启迪科技城 ” ) 、 ” ) 、', '北京公交集团资产管理有限公司']
['启迪科技城集团有限公司', '( 以下 简称 “ 启迪科技城 ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ ( 以下 简称 “', '公交资产公司']
['启迪科技城集团有限公司', '( 以下 简称 “ 启迪科技城 ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ 公交资产公司 ” ) 、 ” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ 公交资产公司 ” ) 、 ( 以下 简称 “ 公交资产公司 ” ) 、 ” ) 、', '北京融沛数据科技有限公司']
['启迪科技城', '” ) 、', '北京公交集团资产管理有限公司']
['启迪科技城', '” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ ( 以下 简称 “', '公交资产公司']
['启迪科技城', '” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ 公交资产公司 ” ) 、 ( 以下 简称 “ 公交资产公司 ” ) 、 ” ) 、', '北京融沛数据科技有限公司']
['启迪科技城', '” ) 、 北京公交集团资产管理有限公司 ( 以下 简称 “ 公交资产公司 ” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ ( 以下 简称 “ 公交资产公司 ” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ ” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '融沛数据']
['北京公交集团资产管理有限公司', '( 以下 简称 “', '公交资产公司']
['北京公交集团资产管理有限公司', '( 以下 简称 “ 公交资产公司 ” ) 、 ” ) 、', '北京融沛数据科技有限公司']
['北京公交集团资产管理有限公司', '( 以下 简称 “ 公交资产公司 ” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ ” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '融沛数据']
['公交资产公司', '” ) 、', '北京融沛数据科技有限公司']
['公交资产公司', '” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '融沛数据']
['公交资产公司', '” ) 、 北京融沛数据科技有限公司 ( 以下 简称 “ 融沛数据 ” ) 共同 投资 设立 ( 以下 简称 “ 融沛数据 ” ) 共同 投资 设立 ” ) 共同 投资 设立', '启迪公交(北京)科技股份有限公司']
['北京融沛数据科技有限公司', '( 以下 简称 “', '融沛数据']
['北京融沛数据科技有限公司', '( 以下 简称 “ 融沛数据 ” ) 共同 投资 设立 ” ) 共同 投资 设立', '启迪公交(北京)科技股份有限公司']
['融沛数据', '” ) 共同 投资 设立', '启迪公交(北京)科技股份有限公司']
['上海永宣', '的 关联 人 四川联创东林股权投资基金管理有限公司 ( 以下 简称 “ ( 以下 简称 “', '联创东林']
['上海永宣', '的 关联 人 四川联创东林股权投资基金管理有限公司 ( 以下 简称 “ 联创东林 ” ) 和 本 公司 全资 子公司 ( 以下 简称 “ 联创东林 ” ) 和 本 公司 全资 子公司 ” ) 和 本 公司 全资 子公司', '北京博瑞盛德创业投资有限公司']
['四川联创东林股权投资基金管理有限公司', '( 以下 简称 “', '联创东林']
['四川联创东林股权投资基金管理有限公司', '( 以下 简称 “ 联创东林 ” ) 和 本 公司 全资 子公司 ” ) 和 本 公司 全资 子公司', '北京博瑞盛德创业投资有限公司']
['四川联创东林股权投资基金管理有限公司', '( 以下 简称 “ 联创东林 ” ) 和 本 公司 全资 子公司 北京博瑞盛德创业投资有限公司 ( 以下 简称 “ ” ) 和 本 公司 全资 子公司 北京博瑞盛德创业投资有限公司 ( 以下 简称 “ ( 以下 简称 “', '博瑞盛德']
['联创东林', '” ) 和 本 公司 全资 子公司 北京博瑞盛德创业投资有限公司 ( 以下 简称 “ ( 以下 简称 “', '博瑞盛德']
['北京博瑞盛德创业投资有限公司', '( 以下 简称 “', '博瑞盛德']
['山东龙旭高分子材料有限公司', '( 以下 简称 “', '山东龙旭']
['山东龙旭高分子材料有限公司', '( 以下 简称 “ 山东龙旭 ” ) 、 ” ) 、', '青岛海尔新材料研发有限公司']
['山东龙旭高分子材料有限公司', '( 以下 简称 “ 山东龙旭 ” ) 、 青岛海尔新材料研发有限公司 ( 以下 简称 “ ” ) 、 青岛海尔新材料研发有限公司 ( 以下 简称 “ ( 以下 简称 “', '海尔新材料']
['山东龙旭', '” ) 、', '青岛海尔新材料研发有限公司']
['山东龙旭', '” ) 、 青岛海尔新材料研发有限公司 ( 以下 简称 “ ( 以下 简称 “', '海尔新材料']
['青岛海尔新材料研发有限公司', '( 以下 简称 “', '海尔新材料']
['康旗殷邦', '拟以 现金 增资 方式 向 太平金融服务有限公司 ( 以下 简称 “ ( 以下 简称 “', '太平金服']
['太平金融服务有限公司', '( 以下 简称 “', '太平金服']
['阳光城集团股份有限公司', '( 以下 简称 “ 公司 ” ) 持有 100 % 权益 的 子公司', '阳光城房地产(广州)有限公司']
['上海力盛赛车文化股份有限公司', '( 以下 简称 “ 公司 ” 或 “ 甲方 ” ) 与', 'DAVIDE DE GOBBI']
['DAVIDE DE GOBBI', '( 以下 简称 “ 乙方 ” ) 和', 'FANG YUAN']
['Top Speed', '( Shanghai ) Limited ( 以下 简称 “ Top Speed ” ) 和 ” ) 和', '上海擎速赛事策划有限公司']
['Top Speed', '( Shanghai ) Limited ( 以下 简称 “ Top Speed ” ) 和 上海擎速赛事策划有限公司 ( 以下 简称 “ ” ) 和 上海擎速赛事策划有限公司 ( 以下 简称 “ ( 以下 简称 “', '擎速赛事']
['Top Speed', '” ) 和', '上海擎速赛事策划有限公司']
['Top Speed', '” ) 和 上海擎速赛事策划有限公司 ( 以下 简称 “ ( 以下 简称 “', '擎速赛事']
['上海擎速赛事策划有限公司', '( 以下 简称 “', '擎速赛事']
['深圳市长亮科技股份有限公司', '( 以下 简称 “ 公司 ” 或 “', '长亮科技']
['深圳市长亮保明产业投资合伙企业(有限合伙)', '( 以下 简称 “', '保明投资']
['珠海迈时光电科技有限公司', '、 珠海智博驿科技合伙企业 ( 有限合伙 ) 共同 成立 合资 公司 — — 共同 成立 合资 公司 — —', '信维微纳光学有限公司']
['海南省农垦投资控股集团有限公司', '( 以下 简称 “', '海垦投资控股集团']
['唐山冀东装备工程股份有限公司', '( 以下 简称 “ 公司 ” ) 的 控股 子公司', '唐山曹妃甸冀东装备机械热加工有限公司']
['唐山冀东装备工程股份有限公司', '( 以下 简称 “ 公司 ” ) 的 控股 子公司 唐山曹妃甸冀东装备机械热加工有限公司 ( 以下 简称 “ ( 以下 简称 “', '曹妃甸热加工']
['唐山曹妃甸冀东装备机械热加工有限公司', '( 以下 简称 “', '曹妃甸热加工']
['冀东发展集团有限责任公司', '( 以下 简称 “', '冀东集团']
['上海明大保险经纪有限公司', '( 简称 “', '上海明大']
['广州海格通信集团股份有限公司', '( 简称 “', '海格通信']
['长沙海格北斗信息技术有限公司', '( 以下 简称 “', '长沙海格']
['长沙海格', '共计 24.3357 % 股权 给 湖南高新创业投资集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '高新创投集团']
['湖南高新创业投资集团有限公司', '( 以下 简称 “', '高新创投集团']
['湖北神狐时代云科技有限公司', '( 以下 简称 “', '湖北神狐']
['深圳市趣投保科技有限公司', '( 简称 “', '趣投保']
['广东创投会资产管理股份有限公司', '( 以下 简称 “', '创投会资产']
['广东创投会资产管理股份有限公司', '( 以下 简称 “ 创投会资产 ” ) 、 ” ) 、', '广州尚东美御商务咨询中心(有限合伙)']
['广东创投会资产管理股份有限公司', '( 以下 简称 “ 创投会资产 ” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ ” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '尚东美御']
['广东创投会资产管理股份有限公司', '( 以下 简称 “ 创投会资产 ” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ 尚东美御 ” ) 、 ” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ 尚东美御 ” ) 、 ( 以下 简称 “ 尚东美御 ” ) 、 ” ) 、', '广东丰乐集团有限公司']
['创投会资产', '” ) 、', '广州尚东美御商务咨询中心(有限合伙)']
['创投会资产', '” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '尚东美御']
['创投会资产', '” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ 尚东美御 ” ) 、 ( 以下 简称 “ 尚东美御 ” ) 、 ” ) 、', '广东丰乐集团有限公司']
['创投会资产', '” ) 、 广州尚东美御商务咨询中心 ( 有限合伙 ) ( 以下 简称 “ 尚东美御 ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ ( 以下 简称 “ 尚东美御 ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '丰乐集团']
['广州尚东美御商务咨询中心(有限合伙)', '( 以下 简称 “', '尚东美御']
['广州尚东美御商务咨询中心(有限合伙)', '( 以下 简称 “ 尚东美御 ” ) 、 ” ) 、', '广东丰乐集团有限公司']
['广州尚东美御商务咨询中心(有限合伙)', '( 以下 简称 “ 尚东美御 ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '丰乐集团']
['广州尚东美御商务咨询中心(有限合伙)', '( 以下 简称 “ 尚东美御 ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ 丰乐集团 ” ) 、 ” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ 丰乐集团 ” ) 、 ( 以下 简称 “ 丰乐集团 ” ) 、 ” ) 、', '广州市协垭石化有限公司']
['尚东美御', '” ) 、', '广东丰乐集团有限公司']
['尚东美御', '” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '丰乐集团']
['尚东美御', '” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ 丰乐集团 ” ) 、 ( 以下 简称 “ 丰乐集团 ” ) 、 ” ) 、', '广州市协垭石化有限公司']
['尚东美御', '” ) 、 广东丰乐集团有限公司 ( 以下 简称 “ 丰乐集团 ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ ( 以下 简称 “ 丰乐集团 ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ ( 以下 简称 “', '协垭石化']
['广东丰乐集团有限公司', '( 以下 简称 “', '丰乐集团']
['广东丰乐集团有限公司', '( 以下 简称 “ 丰乐集团 ” ) 、 ” ) 、', '广州市协垭石化有限公司']
['广东丰乐集团有限公司', '( 以下 简称 “ 丰乐集团 ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ ( 以下 简称 “', '协垭石化']
['广东丰乐集团有限公司', '( 以下 简称 “ 丰乐集团 ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ 协垭石化 ” ) 共同 投资 ” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ 协垭石化 ” ) 共同 投资 ( 以下 简称 “ 协垭石化 ” ) 共同 投资 ” ) 共同 投资', '广东创吉八号创业投资合伙企业(有限合伙)']
['丰乐集团', '” ) 、', '广州市协垭石化有限公司']
['丰乐集团', '” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ ( 以下 简称 “', '协垭石化']
['丰乐集团', '” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ 协垭石化 ” ) 共同 投资 ( 以下 简称 “ 协垭石化 ” ) 共同 投资 ” ) 共同 投资', '广东创吉八号创业投资合伙企业(有限合伙)']
['丰乐集团', '” ) 、 广州市协垭石化有限公司 ( 以下 简称 “ 协垭石化 ” ) 共同 投资 广东创吉八号创业投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “ 协垭石化 ” ) 共同 投资 广东创吉八号创业投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ” ) 共同 投资 广东创吉八号创业投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '创吉八号']
['广州市协垭石化有限公司', '( 以下 简称 “', '协垭石化']
['广州市协垭石化有限公司', '( 以下 简称 “ 协垭石化 ” ) 共同 投资 ” ) 共同 投资', '广东创吉八号创业投资合伙企业(有限合伙)']
['广州市协垭石化有限公司', '( 以下 简称 “ 协垭石化 ” ) 共同 投资 广东创吉八号创业投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ” ) 共同 投资 广东创吉八号创业投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '创吉八号']
['协垭石化', '” ) 共同 投资', '广东创吉八号创业投资合伙企业(有限合伙)']
['协垭石化', '” ) 共同 投资 广东创吉八号创业投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '创吉八号']
['广东创吉八号创业投资合伙企业(有限合伙)', '( 以下 简称 “', '创吉八号']
['深圳市银户通科技有限公司', '( 以下 简称 “', '银户通']
['江苏通光电子线缆股份有限公司', '( 以下 简称 “ 公司 ” ) 与', '江苏通光海洋光电科技有限公司']
['江苏通光电子线缆股份有限公司', '( 以下 简称 “ 公司 ” ) 与 江苏通光海洋光电科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '通光海洋光电']
['江苏通光海洋光电科技有限公司', '( 以下 简称 “', '通光海洋光电']
['北京物灵智能科技有限公司', '( 以下 简称 “', '物灵智能']
['北京物灵智能科技有限公司', '( 以下 简称 “ 物灵智能 ” ) 系 ” ) 系', '东方网力科技股份有限公司']
['北京物灵智能科技有限公司', '( 以下 简称 “ 物灵智能 ” ) 系 东方网力科技股份有限公司 ( 以下 简称 “ 公司 ” 或 “ ” ) 系 东方网力科技股份有限公司 ( 以下 简称 “ 公司 ” 或 “ ( 以下 简称 “ 公司 ” 或 “', '东方网力']
['物灵智能', '” ) 系', '东方网力科技股份有限公司']
['物灵智能', '” ) 系 东方网力科技股份有限公司 ( 以下 简称 “ 公司 ” 或 “ ( 以下 简称 “ 公司 ” 或 “', '东方网力']
['东方网力科技股份有限公司', '( 以下 简称 “ 公司 ” 或 “', '东方网力']
['物灵智能', '50 % 股权 , 宁波梅山保税港区物灵联盟股权投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '物灵联盟']
['宁波梅山保税港区物灵联盟股权投资合伙企业(有限合伙)', '( 以下 简称 “', '物灵联盟']
['物灵智能', '核心 团队 的 积极性 , 公司 拟向 宁波梅山保税港区物灵英豪股权投资合伙企业 ( 有限合伙 ) ( 以下 简称 “ ( 以下 简称 “', '物灵英豪']
['宁波梅山保税港区物灵英豪股权投资合伙企业(有限合伙)', '( 以下 简称 “', '物灵英豪']
['哈尔滨工业大学', '隶属 中华人民共和国工业和信息化部 ( 以下 简称 “ ( 以下 简称 “', '工信部']
['中华人民共和国工业和信息化部', '( 以下 简称 “', '工信部']
['湖南国科微电子股份有限公司', '( 以下 简称 “ 公司 ” 、 “', '国科微']
['湖南国科微电子股份有限公司', '( 以下 简称 “ 公司 ” 、 “ 国科微 ” ) 的 全资 子公司 ” ) 的 全资 子公司', '长沙天捷星科技有限公司']
['国科微', '” ) 的 全资 子公司 长沙天捷星科技有限公司 ( 以下 简称 “ ( 以下 简称 “', '天捷星科技']
['长沙天捷星科技有限公司', '( 以下 简称 “', '天捷星科技']
['天捷星科技', '拟以 现金 方式 购买 原 七名 自然人 股东 持有 的 深圳华电通讯有限公司 ( 以下 简称 “ ( 以下 简称 “', '华电通讯']
['深圳华电通讯有限公司', '( 以下 简称 “', '华电通讯']
['上海凯利泰医疗科技股份有限公司', '( 以下 简称 “', '凯利泰']
['上海显峰投资管理有限公司', '( 以下 简称 “', '上海显峰']
['上海显峰', '” ) 及其 下属 的 特殊 目的 公司 以 协议 受让 方式 收购', 'Elliquence,LLC']
['Elliquence,LLC', '( 以下 简称 “', 'Elliquence']
['江门市碧海银湖房地产有限公司', '( 以下 简称 “', '碧海银湖']
['广州亿城安璟投资有限公司', '( 以下 简称 “', '亿城安璟']
['苏州胜利精密制造科技股份有限公司', '( 以下 简称 “ 公司 ” 、 “ 本 公司 ” ) 与', 'JOT Automa tion Oy']
['JOT Automa tion Oy', '( 下称 “', 'JOT公司']
['中国船舶重工集团动力股份有限公司', '( 以下 简称 “ 公司 ” 或 “', '中国动力']
['中国船舶重工集团动力股份有限公司', '( 以下 简称 “ 公司 ” 或 “ 中国动力 ” ) 计划 以 现金 收购 ” ) 计划 以 现金 收购', '中国船舶重工集团有限公司']
['中国动力', '” ) 计划 以 现金 收购', '中国船舶重工集团有限公司']
['中国动力', '” ) 计划 以 现金 收购 中国船舶重工集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '中船重工集团']
['中国动力', '” ) 计划 以 现金 收购 中国船舶重工集团有限公司 ( 以下 简称 “ 中船重工集团 ” ) 持有 的 ( 以下 简称 “ 中船重工集团 ” ) 持有 的 ” ) 持有 的', '陕西柴油机重工有限公司']
['中国船舶重工集团有限公司', '( 以下 简称 “', '中船重工集团']
['中国船舶重工集团有限公司', '( 以下 简称 “ 中船重工集团 ” ) 持有 的 ” ) 持有 的', '陕西柴油机重工有限公司']
['中国船舶重工集团有限公司', '( 以下 简称 “ 中船重工集团 ” ) 持有 的 陕西柴油机重工有限公司 ( 以下 简称 “ ” ) 持有 的 陕西柴油机重工有限公司 ( 以下 简称 “ ( 以下 简称 “', '陕柴重工']
['中船重工集团', '” ) 持有 的 陕西柴油机重工有限公司 ( 以下 简称 “ ( 以下 简称 “', '陕柴重工']
['陕西柴油机重工有限公司', '( 以下 简称 “', '陕柴重工']
['华夏幸福基业股份有限公司', '( 以下 简称 “', '华夏幸福']
['华夏幸福基业股份有限公司', '( 以下 简称 “ 华夏幸福 ” 或 “ 公司 ” ) 、 ” 或 “ 公司 ” ) 、', '江门市鼎兴园区建设发展有限公司']
['华夏幸福基业股份有限公司', '( 以下 简称 “ 华夏幸福 ” 或 “ 公司 ” ) 、 江门市鼎兴园区建设发展有限公司 ( 以下 简称 “ ” 或 “ 公司 ” ) 、 江门市鼎兴园区建设发展有限公司 ( 以下 简称 “ ( 以下 简称 “', '江门鼎兴']
['华夏幸福', '” 或 “ 公司 ” ) 、', '江门市鼎兴园区建设发展有限公司']
['华夏幸福', '” 或 “ 公司 ” ) 、 江门市鼎兴园区建设发展有限公司 ( 以下 简称 “ ( 以下 简称 “', '江门鼎兴']
